ID_Processo,Data_Distribuicao,Tipo_Acao,Tempo_Tramitacao_Meses,Tempo_Liquidacao_Meses,Valor_Efetivado_BRL
PRC-202470,2018-01-02,Trabalhista,38,2,87520.56
PRC-200815,2018-01-03,Trabalhista,41,5,70605.11
PRC-201383,2018-01-06,Trabalhista,24,4,68056.68
PRC-200305,2018-01-08,Cível,24,4,119389.44
PRC-201769,2018-01-08,Trabalhista,37,4,69697.17
PRC-200325,2018-01-10,Cível,33,4,120152.82
PRC-200432,2018-01-10,Trabalhista,16,6,43099.78
PRC-201057,2018-01-11,Trabalhista,10,3,67345.2
PRC-201646,2018-01-12,Fraude,24,2,210045.9
PRC-200984,2018-01-13,Cível,16,3,120929.83
PRC-201167,2018-01-13,Trabalhista,10,5,52463.45
PRC-201626,2018-01-16,Trabalhista,21,6,63922.87
PRC-201545,2018-01-17,Trabalhista,11,5,47650.1
PRC-200749,2018-01-19,Trabalhista,16,2,41085.09
PRC-200026,2018-01-19,Trabalhista,17,2,47314.02
PRC-201399,2018-01-19,Cível,19,5,101215.61
PRC-200516,2018-01-19,Trabalhista,29,3,70378.97
PRC-201919,2018-01-19,Trabalhista,40,3,88126.36
PRC-200937,2018-01-19,Cível,16,6,79665.45
PRC-200015,2018-01-22,Trabalhista,9,4,31602.63
PRC-201359,2018-01-22,Trabalhista,28,5,59986.3
PRC-200551,2018-01-22,Cível,21,4,96952.14
PRC-200127,2018-01-23,Cível,17,3,78542.98
PRC-200582,2018-01-25,Trabalhista,39,3,75834.69
PRC-200031,2018-01-25,Trabalhista,25,1,74937.25
PRC-200245,2018-01-26,Cível,35,4,120618.44
PRC-202486,2018-01-27,Trabalhista,13,7,55703.05
PRC-202126,2018-01-28,Trabalhista,23,4,63862.81
PRC-201984,2018-01-29,Fraude,20,2,263654.49
PRC-201491,2018-01-30,Trabalhista,18,2,68171.72
PRC-201056,2018-01-31,Cível,10,3,105268.03
PRC-200211,2018-02-02,Trabalhista,27,4,75976.99
PRC-202058,2018-02-04,Trabalhista,50,5,68839.96
PRC-201985,2018-02-04,Fraude,30,1,373349.38
PRC-201050,2018-02-05,Cível,11,6,62741.76
PRC-201703,2018-02-05,Trabalhista,12,4,33381.47
PRC-201047,2018-02-08,Fraude,26,6,380754.48
PRC-200819,2018-02-09,Trabalhista,45,5,83609.97
PRC-201085,2018-02-09,Trabalhista,27,2,53942.92
PRC-200383,2018-02-09,Cível,43,5,141532.39
PRC-200609,2018-02-12,Trabalhista,42,7,85964.93
PRC-201735,2018-02-12,Cível,36,4,124776.44
PRC-200473,2018-02-12,Cível,17,4,101428.08
PRC-200839,2018-02-13,Trabalhista,48,5,95126.3
PRC-202169,2018-02-14,Trabalhista,45,1,86997.16
PRC-201579,2018-02-14,Trabalhista,24,2,50704.38
PRC-201824,2018-02-15,Trabalhista,11,6,38152.55
PRC-201093,2018-02-17,Trabalhista,18,4,47414.02
PRC-200515,2018-02-19,Fraude,28,2,439455.4
PRC-201027,2018-02-19,Cível,39,4,138688.73
PRC-202414,2018-02-21,Trabalhista,18,4,52659.83
PRC-201116,2018-02-22,Fraude,29,4,411196.31
PRC-200085,2018-02-22,Trabalhista,17,4,51972.17
